environment,row_id,cfe,delta_sum,n_steps,mean_tv,max_tv,lce_eq_jce
code_generation,0,-1.0,1.6783974617613104,11,0.15258158743284642,0.8933520317077637,False
code_generation,1,0.0,1.738679671601858,5,0.3477359343203716,0.9065660238265991,False
code_generation,2,0.0,1.7609382285736501,9,0.19565980317485002,0.7036341428756714,False
code_generation,3,0.0,2.299830067453513,5,0.4599660134907026,0.882256805896759,False
code_generation,4,0.0,0.8957432133303769,5,0.17914864266607539,0.83617103099823,False
code_generation,5,0.0,2.4721457939594984,14,0.17658184242567845,0.38787490129470825,False
code_generation,6,0.0,0.699668530272902,8,0.08745856628411275,0.30950939655303955,False
code_generation,7,0.0,1.1595387607812881,3,0.3865129202604294,0.8327190279960632,False
code_generation,8,0.0,0.9358283281326294,1,0.9358283281326294,0.9358283281326294,False
code_generation,9,0.0,2.2954078066240875,5,0.4590815613248175,0.9351276159286499,False
code_generation,10,0.0,0.9066129922866821,1,0.9066129922866821,0.9066129922866821,False
code_generation,11,0.0,1.8682545858510196,7,0.26689351226443137,0.9827673435211182,False
code_generation,12,0.0,1.8804904562908555,183,0.010275904132736916,0.7906193733215332,False
code_generation,13,0.0,1.7291031774918793,14,0.12350736982084852,0.38518351316452026,False
code_generation,14,0.0,2.1805173812888006,9,0.24227970903208895,0.6367215514183044,False
code_generation,15,0.0,1.8598583133425564,5,0.3719716626685113,0.8258084058761597,False
code_generation,16,0.0,1.3179781866492704,5,0.2635956373298541,0.7904684543609619,False
code_generation,17,0.0,0.0,0,0.0,0.0,True
code_generation,18,0.0,1.6784002780914307,3,0.5594667593638102,0.875860333442688,False
code_generation,19,0.0,1.671767619029417,6,0.27862793650490286,0.980449378490448,False
code_generation,20,0.0,2.4097434531286126,13,0.1853648810098933,0.5676013231277466,False
code_generation,24,0.0,0.40247761467480814,5,0.08049552293496162,0.31385481357574463,False
code_generation,25,1.0,1.046801882997471,5,0.2093603765994942,0.9999362826347351,False
code_generation,26,0.0,1.9562747800500802,12,0.1630228983375067,0.5597692728042603,False
code_generation,27,0.0,1.2862519025802612,2,0.6431259512901306,0.6763653755187988,False
code_generation,28,-1.0,0.0,0,0.0,0.0,True
code_generation,29,0.0,1.3896289031281412,4,0.3474072257820353,0.8346657752990723,False
code_generation,30,0.0,0.967985446400462,7,0.138283635200066,0.4081538915634155,False
code_generation,31,0.0,1.9720534707189494,10,0.19720534707189494,0.8697264194488525,False
code_generation,32,0.0,1.4303563833236694,2,0.7151781916618347,0.8095436096191406,False
code_generation,33,0.0,1.0812825677034539,7,0.15446893824335056,0.8938054442405701,False
code_generation,34,0.0,1.5400236444547772,3,0.5133412148182591,0.8764245510101318,False
code_generation,35,0.0,0.9376210570335388,1,0.9376210570335388,0.9376210570335388,False
code_generation,36,0.0,0.9027649194796368,5,0.18055298389592736,0.6972430944442749,False
code_generation,37,0.0,1.6555784559142337,7,0.23651120798774766,0.756554126739502,False
code_generation,38,0.0,1.1742218434810638,2,0.5871109217405319,0.8294543027877808,False
code_generation,39,0.0,1.5693225264549255,2,0.7846612632274628,0.8014518618583679,False
code_generation,40,0.0,2.561203420162201,4,0.6403008550405502,0.9780515432357788,False
code_generation,41,0.0,0.9996398687362671,1,0.9996398687362671,0.9996398687362671,False
code_generation,42,0.0,1.368324885367656,7,0.19547498362395085,0.7096784114837646,False
code_generation,43,0.0,1.7096999883651733,2,0.8548499941825867,0.994962751865387,False
code_generation,44,0.0,0.9568843245506287,1,0.9568843245506287,0.9568843245506287,False
code_generation,45,0.0,1.904534609816892,5,0.3809069219633784,0.9909512400627136,False
code_generation,46,0.0,0.9118713140487671,1,0.9118713140487671,0.9118713140487671,False
code_generation,47,0.0,1.2214194536209106,2,0.6107097268104553,0.9100972414016724,False
code_generation,48,0.0,0.7872834317660181,8,0.09841042897075226,0.43775665760040283,False
code_generation,49,0.0,0.9819562435150146,1,0.9819562435150146,0.9819562435150146,False
code_generation,50,0.0,1.745289824971087,7,0.24932711785301245,0.7620344161987305,False
code_generation,51,0.0,1.542222037911415,3,0.5140740126371384,0.9881924986839294,False
code_generation,52,0.0,1.356220304965973,2,0.6781101524829865,0.9994661211967468,False
code_generation,53,0.0,1.290963764852222,8,0.16137047060652776,0.6118453145027161,False
code_generation,54,0.0,1.7447518706321716,2,0.8723759353160858,0.9679800868034363,False
financial_article_writing,0,-1.0,1.5617060365152327,5,0.31234120730304654,0.8658667802810669,False
financial_article_writing,1,0.0,1.177660336672103,7,0.16823719095315756,0.9948906898498535,False
financial_article_writing,2,0.0,3.683266180221207,21,0.17539362762958127,0.9637590646743774,False
financial_article_writing,3,-1.0,0.7995449791547313,74,0.010804661880469342,0.0602651983499527,False
financial_article_writing,4,0.0,2.1080970466136932,4,0.5270242616534233,0.7188999652862549,False
financial_article_writing,5,0.0,1.5921310782432556,2,0.7960655391216278,0.8538986444473267,False
